state,StateAbbreviation,StateFIPS,election,year,wave,OVERALLINTEGRITY,PEIIndexp,PEIIndexi,ratingstate,ratingcountry,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,laws,lawsi,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,proceduresi,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundariesi,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,votereg,voteregi,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,partyreg,partyregi,MEDIACOVERAGE,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,media,mediai,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,finance,financei,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,voting,votingi,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,counti,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,results,resultsi,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,EMBs,EMBsi,GENERALQUESTIONS,familiarity,important,ORGCONFIDENCE,courts,government,parliament,police,electoralauth,BACKGROUND,employment,public,university,nonprofit,agency,private,occupation,agegroup,sex,education,born,lived,rep,candidate,activist,official,monitor,monitorint,ngo,voted,norole,citizen,supported,leftrightscale,partyid,difficulty,VIGNETTES,vignetteA,vignetteB,vignetteC,EXTRA,rigged,rigged2,machinesaccurate,recordssecure,waited,waited2,multiple,multiple2,regrestrictive,regrestrictive2,obsintimidate,obsintimidate2,popularwill,timely,disinformation,disinformation2,hack,hack2,meddle,meddle2,countdispute,countdispute2,illegalvote,illegalvote2,legalcount,votersuppress,votersuppress2,design,candidatethreat,candidatethreat2,sufficient,audit,SUBFIELD,elections,ampol,statepol,comparative,inter,polcomm,theory,publicadmin,publicpol,methods,socio
Alaska,AK,102,USA_06112018_L1,2018,2018,,38.2653045654297,38.2653045654297,6,5,,4,2,4,2,3,3,33.3333320617676,33.3333320617676,,2,3,2,3,37.5,37.5,,3,3,3,3,3,50,50,,4,2,4,2,4,2,25,25,,4,2,5,4,2,4,2,4,70,70,,2,5,1,1,2,1,10,10,,1,1,1,5,1,4,2,5,5,,2,4,4,2,4,4,4,4,2,1,53.125,53.125,,2,2,2,3,3,3,3,35,35,,4,2,4,2,2,4,4,50,50,,2,4,3,2,43.75,43.75,,9,1,,7,3,0,6,3,,1,1,0,0,0,0,7,4,2,5,0,4,0,0,0,0,0,0,0,1,0,1,6,5,4,9,,8,7,9,,2,4,2,2,4,2,2,4,4,2,3,3,2,3,5,1,5,1,4,2,4,2,1,5,2,3,3,4,4,2,2,2,,0,1,0,1,1,0,0,0,0,0,0
Alaska,AK,102,USA_06112018_L1,2018,2018,,66.8367309570312,66.8367309570312,10,8,,4,2,1,5,2,4,66.6666641235352,66.6666641235352,,4,4,5,5,87.5,87.5,,5,1,5,1,1,0,0,,5,1,4,2,2,4,33.3333320617676,33.3333320617676,,2,4,4,4,2,4,1,5,80,80,,4,3,3,4,5,2,65,65,,2,4,4,4,2,3,3,50,50,,2,4,4,2,5,5,5,5,5,1,75,75,,5,5,5,1,5,1,5,100,100,,4,2,3,3,1,5,4,62.5,62.5,,4,4,4,4,75,75,,9,4,,7,7,,7,7,,1,0,1,0,0,1,6,3,1,5,0,3,0,0,0,0,0,0,0,1,0,1,1,4,5,8,,6,7,8,,3,3,4,4,4,2,3,3,2,4,2,4,5,5,5,1,,,4,2,4,2,2,4,4,2,4,4,3,3,4,4,,0,0,1,1,1,0,0,0,0,1,0
Alaska,AK,102,USA_06112018_L1,2018,2018,,85.7142868041992,85.7142868041992,10,8,,2,4,4,2,1,5,66.6666641235352,66.6666641235352,,5,5,5,5,100,100,,1,5,1,5,5,100,100,,3,3,3,3,3,3,50,50,,1,5,5,5,1,5,1,5,100,100,,5,2,4,5,5,4,90,90,,5,4,5,2,4,3,3,80,80,,1,5,4,2,4,5,5,5,5,1,75,75,,4,5,5,1,5,1,5,95,95,,1,5,2,4,1,5,3,81.25,81.25,,5,5,5,5,100,100,,10,1,,8,6,5,7,9,,1,0,1,0,0,0,6,3,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,3,5,10,,9,9,9,,1,5,5,5,2,4,4,2,1,5,1,5,4,5,1,5,2,4,1,5,1,5,1,5,4,1,5,5,1,5,5,5,,0,0,0,0,0,0,0,0,1,0,0
Arizona,AZ,202,USA_06112018_L1,2018,2018,,,53.0357131958008,7,4,,4,2,5,1,4,2,16.6666660308838,16.6666660308838,,4,2,4,5,68.75,68.75,,5,1,4,2,2,16.6666660308838,16.6666660308838,,,,,,,,,55,,3,3,2,2,4,2,3,3,35,35,,4,2,4,2,4,3,60,60,,1,1,3,5,1,3,3,20,20,,2,4,,,2,2,4,,,1,,55.9375,,4,4,5,,,,,,82.25,,2,4,1,5,1,5,5,93.75,93.75,,4,3,3,4,62.5,62.5,,9,2,,5,6,5,5,5,,1,0,1,0,0,0,6,1,1,5,0,2,0,0,0,0,0,0,0,1,0,1,1,1,7,8,,7,5,7,,1,5,5,5,4,2,2,4,5,1,3,3,4,4,5,1,2,4,3,3,2,4,2,4,5,4,2,3,2,4,,,,1,1,0,0,0,1,0,0,0,1,0
Arizona,AZ,202,USA_06112018_L1,2018,2018,,,65.3061218261719,8,6,,,,4,2,,,,41.25,,4,5,5,,,89.375,,,,,,,,35.4166679382324,,,,,,,,,59.1666679382324,,,,2,2,3,3,,,,49,,,,,4,5,1,,59.5,,,,,2,4,,,,63,,,,1,5,4,4,5,,,1,,74.375,,,4,4,,,,,,76.5,,2,4,2,4,1,5,3,75,75,,4,4,4,4,75,75,,2,1,,8,7,4,5,4,,1,1,1,1,0,1,6,2,2,5,0,2,0,0,0,0,0,0,0,1,0,1,1,4,6,4,,8,5,8,,1,5,5,4,,,1,5,3,3,,,5,5,4,2,,,1,5,2,4,,,4,3,3,4,2,4,,,,0,0,0,0,0,0,0,0,1,1,0
Arizona,AZ,202,USA_06112018_L1,2018,2018,,64.2857131958008,64.2857131958008,7,6,,4,2,4,2,3,3,33.3333320617676,33.3333320617676,,3,3,4,4,62.5,62.5,,2,4,2,4,4,75,75,,2,4,2,4,2,4,75,75,,2,4,4,4,3,3,2,4,70,70,,4,2,4,2,4,3,60,60,,4,4,2,3,3,2,4,60,60,,2,4,2,4,4,4,4,4,4,2,68.75,68.75,,4,3,4,2,4,2,4,70,70,,2,4,4,2,2,4,4,62.5,62.5,,4,4,3,3,62.5,62.5,,8,1,,6,5,5,4,6,,1,0,1,0,0,0,6,4,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,2,7,5,,6,2,8,,1,5,4,4,4,2,1,5,2,4,1,5,4,4,4,2,2,4,2,4,4,2,2,4,4,3,3,4,4,2,3,4,,0,1,0,0,0,0,0,0,0,0,0
Arizona,AZ,202,USA_06112018_L1,2018,2018,,,79.7448959350586,9,9,,4,2,4,2,4,2,25,25,,4,5,5,5,93.75,93.75,,2,4,2,4,4,75,75,,2,4,2,4,1,5,83.3333358764648,83.3333358764648,,2,4,5,5,1,5,1,5,95,95,,4,2,4,5,4,,,73.25,,4,4,2,2,4,2,4,65,65,,1,5,1,5,4,4,5,5,5,1,81.25,81.25,,5,4,5,,,1,5,,88.25,,1,5,1,5,1,5,4,93.75,93.75,,4,5,4,5,87.5,87.5,,10,3,,7,7,5,7,7,,1,0,1,0,0,0,6,5,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,2,7,8,,5,9,9,,1,5,5,5,2,4,1,5,2,4,1,5,4,5,2,4,2,4,2,4,1,5,1,5,5,2,4,5,1,5,5,5,,1,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,202,USA_06112018_L1,2018,2018,,,50.4081649780273,8,3,,5,1,5,1,4,2,8.33333301544189,8.33333301544189,,2,4,2,4,50,50,,5,1,4,2,1,8.33333301544189,8.33333301544189,,3,3,3,3,1,5,66.6666641235352,66.6666641235352,,2,4,5,2,2,4,2,4,70,70,,4,2,4,2,4,2,55,55,,4,2,2,4,2,4,2,35,35,,1,5,2,4,4,4,4,4,4,1,68.75,68.75,,2,2,3,,,2,4,,50.25,,2,4,2,4,2,4,,,73.4375,,2,4,1,2,31.25,31.25,,7,1,,3,3,,1,3,,1,0,1,0,0,0,6,4,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,2,7,8,,7,8,9,,1,5,3,2,2,4,1,5,3,3,1,5,4,2,5,1,4,2,5,1,1,5,1,5,4,1,5,4,2,4,4,4,,0,0,0,0,0,0,1,0,0,0,0
Arizona,AZ,202,USA_06112018_L1,2018,2018,,,63.3673439025879,7,4,,3,3,3,3,3,3,50,50,,2,3,,,,57.1875,,3,3,5,1,2,25,25,,,,,,,,,51.2500038146973,,2,4,4,4,3,3,2,4,70,70,,4,2,4,4,4,4,75,75,,4,4,4,4,2,2,4,65,65,,2,4,2,4,2,4,4,,4,2,,63.125,,4,4,4,,,,,,73.5,,2,4,2,4,2,4,4,75,75,,4,4,4,3,68.75,68.75,,7,1,,5,5,5,3,4,,1,0,1,0,0,0,6,4,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,3,7,8,,7,7,7,,2,4,4,4,4,2,2,4,4,2,3,3,4,4,4,2,2,4,2,4,2,4,2,4,4,2,4,4,2,4,2,2,,1,1,0,0,0,1,0,0,0,1,0
Arizona,AZ,202,USA_06112018_L1,2018,2018,,59.1836738586426,59.1836738586426,10,8,,4,2,5,1,5,1,8.33333301544189,8.33333301544189,,5,4,5,5,93.75,93.75,,5,1,5,1,1,0,0,,3,3,1,5,1,5,83.3333358764648,83.3333358764648,,4,2,2,2,2,4,1,5,50,50,,2,3,3,1,4,3,40,40,,4,2,2,4,2,3,3,40,40,,1,5,2,4,2,2,5,4,5,2,65.625,65.625,,4,2,5,1,5,1,5,80,80,,1,5,2,4,1,5,4,87.5,87.5,,4,4,4,5,81.25,81.25,,9,1,,5,4,4,1,8,,1,0,1,0,0,0,6,5,1,5,0,4,0,0,0,0,0,0,0,0,1,1,4,1,8,8,,7,4,8,,2,4,4,4,3,3,1,5,4,2,1,5,3,3,4,2,3,3,1,5,2,4,1,5,5,4,2,4,1,5,3,5,,1,1,1,0,0,0,0,0,1,1,0
Arkansas,AR,103,USA_06112018_L1,2018,2018,,64.7959213256836,64.7959213256836,8,7,,3,3,4,2,2,4,50,50,,3,3,2,2,37.5,37.5,,4,2,4,2,2,25,25,,3,3,3,3,2,4,58.3333320617676,58.3333320617676,,2,4,4,4,2,4,1,5,80,80,,2,2,4,4,4,3,60,60,,3,2,4,3,3,2,4,55,55,,1,5,1,5,5,4,4,3,3,1,68.75,68.75,,5,4,5,1,5,1,5,95,95,,1,5,1,5,1,5,4,93.75,93.75,,4,4,2,4,62.5,62.5,,10,2,,4,4,4,4,6,,1,1,1,1,0,0,6,4,1,5,1,4,0,0,0,0,0,0,0,1,0,1,1,2,7,9,,6,8,9,,1,5,5,5,1,5,1,5,4,2,2,4,5,4,3,3,1,5,1,5,1,5,1,5,4,1,5,4,1,5,5,4,,0,1,0,0,0,0,0,0,0,0,0
Arkansas,AR,103,USA_06112018_L1,2018,2018,,,54.6938743591309,8,5,,,,2,4,4,2,,46.6666641235352,,4,2,4,4,62.5,62.5,,4,2,4,2,2,25,25,,,,,,,,,41.6666679382324,,,,4,4,2,4,2,4,,73,,2,4,2,,4,,,46.75,,,2,,5,1,,,,30.75,,4,2,,,2,4,4,4,4,1,,51.5625,,,4,,,,,,,70.5,,2,4,,,2,4,,,73.4375,,4,,,4,,69.6875,,9,1,,4,5,0,4,5,,1,0,1,0,0,0,6,5,1,4,0,5,0,0,0,0,0,0,0,1,0,1,1,3,5,9,,8,8,8,,1,5,4,,,,2,4,5,1,,,4,4,4,2,,,,,2,4,2,4,4,4,2,4,,,,,,0,1,1,0,0,1,0,0,0,0,0
Arkansas,AR,103,USA_06112018_L1,2018,2018,,,69.6173477172852,8,8,,4,2,2,4,4,2,41.6666679382324,41.6666679382324,,4,4,4,4,75,75,,4,2,4,2,1,16.6666660308838,16.6666660308838,,4,2,4,2,4,2,25,25,,1,5,5,5,2,4,1,5,95,95,,4,2,4,5,5,,,80,,,4,4,2,4,2,4,,68.75,,1,5,2,4,4,5,1,4,4,1,62.5,62.5,,5,5,5,,,2,4,,88.5,,1,5,1,5,1,5,5,100,100,,4,4,4,4,75,75,,10,5,,8,8,8,8,8,,1,0,1,0,0,0,6,4,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,5,6,9,,5,8,9,,1,5,4,5,2,4,1,5,2,4,1,5,5,5,2,4,2,4,1,5,1,5,1,5,5,1,5,4,1,5,4,4,,1,1,1,0,0,0,0,0,0,0,0
Arkansas,AR,103,USA_06112018_L1,2018,2018,,,57.2704086303711,8,6,,4,2,1,5,1,5,75,75,,2,2,5,4,56.25,56.25,,1,5,4,2,4,66.6666641235352,66.6666641235352,,1,5,1,5,1,5,100,100,,1,5,5,5,3,3,1,5,90,90,,1,3,3,4,1,1,25,25,,1,1,1,2,4,3,3,25,25,,1,5,4,2,4,1,4,1,4,1,43.75,43.75,,4,2,4,,,2,4,,61.25,,2,4,2,4,1,5,4,81.25,81.25,,4,1,4,2,43.75,43.75,,7,4,,5,2,2,4,3,,1,0,1,0,0,0,6,3,1,5,1,4,0,0,0,0,0,0,0,1,0,1,6,6,4,10,,2,5,7,,1,5,4,3,2,4,2,4,2,4,2,4,4,2,4,2,4,2,1,5,2,4,1,5,4,1,5,3,1,5,4,2,,0,1,1,0,0,0,0,1,0,0,0
California,CA,203,USA_06112018_L1,2018,2018,,44.3877563476562,44.3877563476562,6,5,,4,2,4,2,3,3,33.3333320617676,33.3333320617676,,2,4,3,4,56.25,56.25,,4,2,4,2,2,25,25,,4,2,4,2,4,2,25,25,,3,3,4,4,2,4,4,2,60,60,,2,3,3,3,2,3,40,40,,2,2,2,3,3,3,3,35,35,,2,4,4,2,4,2,3,4,4,1,50,50,,3,2,3,3,3,3,3,45,45,,4,2,3,3,3,3,4,50,50,,2,4,4,2,50,50,,10,1,,9,6,6,2,5,,1,0,1,0,0,0,6,3,1,5,1,5,0,0,0,0,0,0,0,1,0,1,1,5,6,8,,1,7,9,,3,3,4,4,3,3,4,2,3,3,3,3,4,2,4,2,3,3,3,3,3,3,,,,3,3,4,3,3,3,4,,1,1,1,0,1,0,0,1,0,0,0
California,CA,203,USA_06112018_L1,2018,2018,,,81.2244873046875,10,6,,2,4,2,4,2,4,75,75,,5,5,5,5,100,100,,2,4,2,4,4,75,75,,2,4,2,4,2,4,75,75,,2,4,4,4,1,5,1,5,85,85,,5,2,4,5,5,,,84,,5,5,5,2,4,2,4,90,90,,2,4,2,4,4,4,4,4,4,,,66.40625,,4,4,4,,,,,,74.25,,,,2,4,1,5,4,,76.875,,5,5,5,5,100,100,,8,1,,9,9,9,6,9,,3,0,1,0,0,0,6,6,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,4,7,8,,6,0,9,,2,4,5,5,4,2,1,5,2,4,4,2,4,4,4,2,,,4,2,2,4,2,4,4,2,4,4,2,4,4,,,0,0,0,1,0,0,0,0,0,0,0
California,CA,203,USA_06112018_L1,2018,2018,,,71.7346954345703,8,3,,5,1,5,1,1,5,33.3333320617676,33.3333320617676,,5,5,5,5,100,100,,1,5,3,3,4,75,75,,,,,,,,,54.5833358764648,,5,1,,,1,5,,,,62.75,,4,,,,4,,,59.5,,,,,3,3,,,,51,,1,5,,,5,4,5,5,5,1,,81.5625,,5,5,5,,,,,,89.25,,5,1,1,5,1,5,5,75,75,,5,5,,5,,90.3125,,8,1,,7,7,7,2,7,,2,0,1,0,0,0,6,6,2,5,1,4,0,0,0,0,0,0,0,1,0,1,1,1,7,10,,6,9,9,,1,5,5,5,,,1,5,1,5,1,5,4,4,,,,,,,4,2,1,5,5,1,5,5,1,5,5,,,0,1,0,0,0,0,1,0,1,0,0
California,CA,203,USA_06112018_L1,2018,2018,,,53.1887741088867,6,3,,4,2,4,2,3,3,33.3333320617676,33.3333320617676,,2,3,2,4,43.75,43.75,,5,1,5,1,2,8.33333301544189,8.33333301544189,,4,2,4,2,4,2,25,25,,,,4,3,2,4,2,4,,69,,4,3,3,4,4,,,65.25,,1,2,3,3,3,,,,36.25,,2,4,,,3,5,5,4,,2,,72.8125,,,2,,,,,,,64.25,,2,4,2,4,2,4,4,75,75,,2,4,3,2,43.75,43.75,,9,4,,6,5,5,3,4,,1,0,1,0,0,0,6,4,2,5,1,4,0,0,0,0,0,0,0,1,0,1,1,2,7,9,,7,7,9,,2,4,,,4,2,2,4,4,2,4,2,3,2,4,2,4,2,,,2,4,2,4,,4,2,2,,,,,,0,1,0,0,0,0,0,0,0,0,0
